"question_date","num_questions_with_en_response"
"2017-11-22","1446"
"2017-11-23","2742"
"2017-11-24","3475"
"2017-11-25","2147"
"2017-11-26","1563"
"2017-11-27","3218"
"2017-11-28","1950"
"2017-11-29","2493"
"2017-11-30","4589"
"2017-12-01","3174"
"2017-12-02","1914"
"2017-12-03","1696"
"2017-12-04","1535"
"2017-12-05","1493"
"2017-12-06","1563"
"2017-12-07","3833"
"2017-12-08","2779"
"2017-12-09","1483"
"2017-12-10","1537"
"2017-12-11","1900"
"2017-12-12","2858"
"2017-12-13","2312"
"2017-12-14","1579"
"2017-12-15","1925"
"2017-12-16","1295"
"2017-12-17","1177"
"2017-12-18","1774"
"2017-12-19","1505"
"2017-12-20","1864"
"2017-12-21","3993"
"2017-12-22","2817"
"2017-12-23","1357"
"2017-12-24","1079"
"2017-12-25","783"
"2017-12-26","1127"
"2017-12-27","1159"
"2017-12-28","1420"
"2017-12-29","1795"
"2017-12-30","1190"
"2017-12-31","1045"
"2018-01-01","1054"
"2018-01-02","1045"
"2018-01-03","1752"
"2018-01-04","1672"
"2018-01-05","2289"
"2018-01-06","1596"
"2018-01-07","1503"
"2018-01-08","5807"
"2018-01-09","2734"
"2018-01-10","1764"
"2018-01-11","1742"
"2018-01-12","3573"
"2018-01-13","2049"
"2018-01-14","1449"
"2018-01-15","1733"
"2018-01-16","1571"
"2018-01-17","5284"
"2018-01-18","3376"
"2018-01-19","2664"
"2018-01-20","1582"
"2018-01-21","1575"
"2018-01-22","1595"
"2018-01-23","1679"
"2018-01-24","5576"
"2018-01-25","3277"
"2018-01-26","2985"
"2018-01-27","1884"
"2018-01-28","1433"
"2018-01-29","1273"
"2018-01-30","1231"
"2018-01-31","2736"
"2018-02-01","6154"
"2018-02-02","2995"
"2018-02-03","1406"
"2018-02-04","1136"
"2018-02-05","1071"
"2018-02-06","1023"
"2018-02-07","3377"
"2018-02-08","1670"
"2018-02-09","1690"
"2018-02-10","1362"
"2018-02-11","1369"
"2018-02-12","2910"
"2018-02-13","2205"
