"question_user_country_code","question_topic","num_questions"
"gb","","145"
"gb","plant","31"
"gb","tomato","31"
"gb","vegetable","18"
"gb","chicken","17"
"gb","maize","17"
"gb","bean","13"
"gb","cattle","7"
"gb","wheat","7"
"gb","chilli","7"
"gb","potato","6"
"gb","tea","4"
"gb","carrot","3"
"gb","sunflower","2"
"gb","bird","2"
"gb","watermelon","2"
"gb","cucumber","1"
"gb","goat","1"
"gb","coffee","1"
"ke","cattle","914979"
"ke","chicken","792171"
"ke","","788278"
"ke","maize","761224"
"ke","plant","591847"
"ke","tomato","338672"
"ke","crop","313865"
"ke","bean","228127"
"ke","potato","188505"
"ke","poultry","161454"
"ke","cabbage","123802"
"ke","animal","115592"
"ke","goat","112171"
"ke","livestock","109293"
"ke","kale","99373"
"ke","rabbit","91111"
"ke","banana","88701"
"ke","wheat","88000"
"ke","sheep","80514"
"ke","pig","79589"
"ke","onion","78673"
"ke","tree","66468"
"ke","tea","64826"
"ke","plantain","57121"
"ke","grass","56530"
"ke","watermelon","49320"
"ke","vegetable","42529"
"ke","sweet-potato","38995"
"ke","sugar-cane","38511"
"ke","coffee","37374"
"ke","bee","37154"
"ke","carrot","36819"
"ke","millet","29741"
"ke","peanut","28340"
"ke","fish","27039"
"ke","dog","25615"
"ke","avocado","23076"
"ke","napier-grass","22500"
"ke","duck","22348"
"ke","bird","22048"
"ke","melon","19984"
"ke","mango","18985"
"ke","cassava","18072"
"ke","pea","17036"
"ke","passion-fruit","16165"
"ke","orange","15204"
"ke","spinach","15152"
"ke","olive","14604"
"ke","pumpkin","12916"
"ke","pigeon","12322"
"ke","paw-paw","11796"
"ke","capsicum","10331"
"ke","rice","10301"
"ke","french-bean","9736"
"ke","sunflower","8776"
"ke","cowpea","7635"
"ke","eucalyptus","7531"
"ke","cat","7074"
"ke","mushroom","6907"
"ke","soya","6539"
"ke","turkey","6449"
"ke","camel","6087"
"ke","yam","6079"
"ke","tobacco","5615"
"ke","taro","5507"
"ke","pear","5482"
"ke","cotton","5361"
"ke","mung-bean","4884"
"ke","miraa","4774"
"ke","garlic","4655"
"ke","cereal","4383"
"ke","pineapple","4185"
"ke","apple","4180"
"ke","macademia","3916"
"ke","beetroot","3864"
"ke","greens","3631"
"ke","clover","3451"
"ke","butternut-squash","3224"
"ke","boma-rhodes","3025"
"ke","desmodium","2707"
"ke","collard-greens","2379"
"ke","strawberry","2278"
"ke","pyrethrum","2241"
"ke","finger-millet","2230"
"ke","chilli","2219"
"ke","lemon","2120"
"ke","peach","2069"
"ke","cucumber","1954"
"ke","coconut","1872"
"ke","lucern","1783"
"ke","safflower","1674"
"ke","nightshade","1537"
"ke","aubergine","1516"
"ke","tilapia","1502"
"ke","sisal","1502"
"ke","guinea-fowl","1425"
"ke","brachiaria-grass","1300"
"ke","cyprus","1235"
"ke","flax","1212"
"ke","chia","1201"
"ke","ginger","1141"
"ke","african-nightshade","1088"
"ke","bamboo","1069"
"ke","barley","1009"
"ke","oat","1001"
"ke","rapeseed","948"
"ke","cashew-nut","820"
"ke","corriander","818"
"ke","ostrich","811"
"ke","radish","799"
"ke","squash","743"
"ke","okra","715"
"ke","grape","622"
"ke","sesame","616"
"ke","cocoa","608"
"ke","snow-pea","583"
"ke","pigeon-pea","509"
"ke","broccoli","488"
"ke","courgette","470"
"ke","guava","460"
"ke","locust","456"
